transaction_id,account_id,transaction_date,transaction_type,amount
96,2045,2025-09-01,Debit,27.79
97,3341,2024-08-17,Credit,135.21
98,712,2025-05-12,Debit,14.93
99,3241,2024-10-07,Transfer,70.36
100,1949,2024-12-28,Debit,17.33
101,246,2025-04-01,Credit,47.71
102,2761,2024-06-27,Credit,26.11
103,864,2025-03-04,Transfer,21.99
104,2900,2025-02-20,Credit,176.96
105,1270,2025-05-18,Payment,11.24
106,1199,2025-05-20,Debit,8.51
107,332,2025-06-23,Debit,17.36
108,2484,2025-09-16,Payment,41.25
109,4091,2025-05-27,Debit,203.39
110,1208,2024-09-05,Credit,20.67
111,4060,2025-06-25,Credit,57.19
112,3881,2024-11-20,Credit,38.33
113,48,2025-07-06,Debit,84.52
114,693,2025-09-13,Transfer,102.64
115,162,2025-03-21,Credit,149.79
116,2217,2025-02-04,Transfer,127.06
117,1874,2025-05-21,Debit,12.43
118,1298,2025-07-23,Debit,22.95
119,3660,2025-09-25,Payment,54.72
120,973,2025-04-27,Debit,29.57
121,2495,2025-03-25,Debit,6.79
122,2060,2025-03-03,Credit,144.23
123,2606,2025-04-23,Debit,111.95
124,1064,2025-10-20,Transfer,6.87
125,416,2025-06-30,Transfer,16.98
126,2068,2025-07-27,Debit,23.46
127,3630,2025-09-14,Credit,75.98
128,3959,2025-06-06,Payment,19.61
129,545,2025-02-28,Debit,36.84
130,971,2025-01-11,Credit,84.68
131,4327,2024-12-26,Credit,17.3
132,141,2025-09-17,Debit,17.53
133,4463,2025-06-09,Transfer,3.93
134,2097,2025-05-21,Credit,12.66
135,1249,2025-06-20,Payment,53.39
136,2521,2025-02-18,Credit,3.91
137,3713,2025-06-06,Debit,12.36
138,14,2024-12-12,Credit,307.63
139,3051,2025-06-17,Debit,84.09
140,2085,2025-08-05,Debit,238.07
141,3602,2024-01-27,Credit,7.9
142,1625,2025-06-30,Debit,5.81
143,749,2025-06-16,Credit,40.62
144,3116,2025-05-04,Transfer,22.64
145,588,2025-04-18,Credit,20.44
146,4392,2025-02-05,Credit,121.26
147,4394,2025-03-31,Credit,43.35
148,173,2025-05-25,Credit,2.05
149,3377,2025-07-27,Payment,49.39
150,4069,2024-12-11,Debit,12.9
151,379,2024-12-05,Credit,12.47
152,3347,2025-06-24,Debit,151.29
153,3224,2025-07-22,Credit,12.65
154,2197,2025-08-22,Credit,597.13
155,140,2025-10-01,Debit,6.34
156,3087,2025-04-14,Debit,22.46
157,587,2025-06-19,Transfer,111.66
158,2980,2025-07-21,Payment,57.64
159,2090,2024-10-04,Credit,10.72
160,906,2025-02-06,Credit,40.19
161,2876,2025-09-18,Debit,38.99
162,1162,2025-07-26,Credit,61.99
163,386,2025-08-26,Payment,36.44
164,3046,2025-07-19,Transfer,12.0
165,2927,2025-09-01,Debit,15.42
166,1518,2025-05-10,Debit,267.38
167,4023,2025-08-29,Credit,6.87
168,4145,2025-07-06,Credit,15.15
169,1582,2025-04-14,Debit,47.56
170,1175,2025-09-15,Debit,20.34
171,547,2025-09-17,Transfer,56.47
172,3964,2025-04-04,Debit,27.37
173,321,2025-04-23,Debit,29.74
174,2539,2025-04-29,Credit,40.34
175,1752,2025-09-10,Credit,9.27
176,381,2024-12-31,Debit,54.23
177,1732,2025-04-21,Debit,11.86
178,364,2025-05-13,Debit,31.27
179,2736,2025-07-03,Debit,65.26
180,2686,2024-12-01,Debit,13.22
181,4464,2025-01-11,Credit,9.5
182,3444,2025-03-01,Credit,145.5
183,4099,2025-09-04,Credit,31.05
184,2194,2025-07-29,Debit,24.49
185,318,2025-03-25,Debit,14.38
186,1658,2025-08-27,Credit,7.4
187,2477,2024-09-15,Credit,19.69
188,3086,2025-07-30,Credit,48.09
189,416,2024-11-02,Transfer,9.49
190,2872,2024-09-21,Credit,4.1
191,2366,2024-10-01,Credit,7.11
192,1086,2025-08-19,Debit,53.77
193,3177,2025-09-21,Credit,63.68
194,3780,2025-08-21,Credit,68.71
195,3458,2025-09-07,Credit,255.02
196,3804,2024-07-15,Credit,12.96
197,3345,2025-08-10,Debit,112.0
198,2931,2025-04-11,Transfer,81.1
199,1621,2025-04-13,Debit,26.35
200,4296,2025-01-10,Debit,104.22
201,4308,2025-08-12,Debit,55.97
202,3172,2025-05-23,Credit,4.32
203,4496,2025-10-06,Debit,53.38
204,2310,2025-03-09,Debit,20.85
205,723,2025-05-24,Credit,121.53
206,3670,2025-05-13,Credit,10.67
207,689,2025-09-25,Credit,56.12
208,3725,2025-08-07,Credit,13.2
209,1566,2024-11-14,Transfer,13.2
210,2543,2025-07-25,Credit,12.21
211,2782,2025-06-24,Credit,8.93
212,897,2025-06-05,Debit,14.81
213,699,2025-01-07,Credit,345.18
214,2839,2025-02-28,Debit,19.23
215,2559,2024-03-05,Credit,18.68
216,2653,2025-01-26,Credit,77.82
217,3858,2024-06-08,Debit,100.11
218,3684,2024-10-19,Credit,12.49
219,1445,2025-04-05,Debit,33.74
220,3841,2025-08-13,Credit,160.74
221,3038,2025-06-02,Credit,32.47
222,3868,2025-03-08,Credit,50.27
223,368,2025-05-06,Credit,79.85
224,3048,2025-02-25,Transfer,150.46
225,3764,2025-07-15,Transfer,12.32
226,2378,2025-03-09,Debit,46.44
227,497,2024-05-07,Credit,32.5
228,653,2025-06-27,Debit,69.09
229,3511,2025-07-02,Debit,45.24
230,3138,2024-04-12,Credit,7.67
231,4442,2025-08-30,Credit,52.0
232,1388,2025-07-26,Credit,130.33
233,272,2025-04-30,Credit,27.57
234,1242,2025-10-04,Debit,3.63
235,3790,2024-10-02,Credit,75.08
236,304,2023-10-29,Transfer,45.95
237,1101,2025-09-27,Credit,9.72
238,583,2025-08-15,Credit,35.85
239,2047,2024-11-19,Credit,52.61
240,3163,2025-05-17,Debit,11.1
241,3128,2025-06-02,Payment,86.44
242,3313,2025-02-11,Credit,53.66
243,284,2025-05-29,Debit,16.89
244,1333,2025-07-19,Debit,33.62
245,3895,2025-07-17,Credit,33.68
246,3202,2025-08-14,Transfer,11.6
247,3211,2025-09-07,Debit,96.34
248,3841,2025-05-25,Credit,218.28
249,671,2025-08-14,Credit,12.94
250,1199,2025-07-18,Debit,7.55
251,3169,2025-07-18,Debit,771.88
252,3442,2025-06-08,Credit,55.09
253,2723,2025-04-11,Debit,218.47
254,2416,2025-07-03,Debit,10.78
255,2163,2024-12-28,Debit,2124.7
256,992,2025-08-11,Transfer,32.66
257,226,2025-08-21,Credit,15.36
258,1615,2025-01-11,Credit,7.52
259,4321,2025-04-22,Debit,59.67
260,4484,2025-01-18,Debit,142.69
261,3348,2025-05-11,Transfer,8.84
262,1030,2025-05-09,Credit,60.22
263,2269,2025-09-20,Transfer,37.72
264,2257,2025-02-27,Transfer,18.98
265,3861,2025-09-14,Credit,45.57
266,1864,2025-06-04,Credit,81.31
267,2473,2025-09-10,Transfer,37.16
268,4250,2025-04-21,Credit,6.65
269,1737,2024-12-27,Debit,96.76
270,1070,2025-04-09,Debit,46.83
271,1182,2025-10-10,Debit,4.95
272,645,2025-06-04,Debit,468.89
273,3914,2025-05-01,Payment,19.49
274,1497,2025-07-02,Debit,13.35
275,3852,2025-03-22,Transfer,211.69
276,769,2025-05-25,Credit,41.89
277,2769,2024-11-03,Transfer,80.49
278,3004,2025-05-10,Credit,27.26
279,564,2025-05-02,Debit,100.44
280,2513,2025-06-13,Credit,24.31
281,2596,2025-05-04,Debit,12.0
282,1368,2025-05-04,Debit,12.45
283,1510,2025-03-18,Credit,17.08
284,3123,2025-01-22,Credit,124.13
285,4403,2024-11-16,Debit,39.65
286,1946,2025-05-05,Credit,38.75
287,1060,2025-01-03,Debit,10.46
288,1747,2025-09-26,Credit,20.39
289,1209,2024-12-18,Debit,9.91
290,2053,2025-04-04,Debit,151.98
291,4276,2025-03-17,Debit,341.39
292,230,2025-08-08,Debit,8.22
293,3118,2024-08-05,Credit,58.28
294,3186,2025-03-13,Debit,35.0
295,4046,2023-11-25,Debit,36.11
296,1130,2024-10-04,Debit,66.95
297,754,2025-07-09,Credit,15.17
298,571,2025-06-05,Transfer,10.25
299,2679,2025-03-24,Transfer,23.53
300,3443,2025-07-18,Credit,32.62
301,4146,2025-03-08,Credit,12.52
302,3553,2025-05-31,Debit,49.82
303,3540,2024-12-02,Debit,7.33
304,643,2025-09-06,Debit,27.81
305,1093,2024-11-16,Credit,34.57
306,2748,2025-10-16,Debit,13.23
307,646,2025-07-22,Payment,15.33
308,3896,2025-05-06,Payment,41.16
309,4034,2025-07-09,Transfer,21.55
310,4480,2025-02-20,Credit,105.23
311,2978,2024-12-14,Credit,56.03
312,1118,2024-06-24,Debit,16.13
313,1579,2025-04-22,Debit,48.08
314,1124,2025-06-11,Debit,30.94
315,3743,2024-10-24,Payment,18.45
316,4354,2025-08-19,Transfer,11.57
317,481,2025-08-03,Credit,31.45
318,1084,2025-08-21,Credit,7.35
319,4487,2025-03-15,Transfer,17.82
320,1330,2024-12-05,Transfer,29.16
321,2633,2025-08-25,Transfer,4.31
322,1426,2025-04-08,Debit,6.73
323,1404,2025-06-17,Credit,17.75
324,2794,2025-08-25,Credit,12.22
325,1957,2024-11-22,Transfer,9.12
326,2991,2024-10-26,Credit,8.17
327,4493,2025-07-03,Debit,61.63
328,2459,2025-03-27,Credit,35.25
329,689,2025-08-15,Debit,66.76
330,2171,2025-04-25,Credit,75.35
331,1706,2025-04-24,Debit,7.25
332,2377,2025-05-11,Credit,14.03
333,1092,2025-04-17,Debit,12.57
334,2621,2024-09-22,Credit,42.98
335,818,2025-03-10,Debit,43.28
336,4351,2024-11-29,Credit,7.0
337,1462,2025-08-21,Credit,13.16
338,1340,2025-07-22,Debit,252.75
339,1485,2025-03-26,Credit,113.08
340,2919,2025-05-10,Debit,58.31
341,357,2025-01-16,Credit,14.5
342,248,2025-04-08,Credit,28.1
343,709,2025-06-08,Credit,37.38
344,396,2025-02-24,Credit,50.42
345,2294,2025-06-03,Credit,57.99
346,1831,2025-07-07,Debit,15.1
347,3602,2025-09-20,Debit,38.43
348,265,2025-07-16,Debit,488.0
349,4312,2025-06-27,Credit,118.85
350,2507,2025-02-09,Payment,3.83
351,2614,2025-02-19,Credit,170.32
352,4183,2024-10-16,Transfer,183.04
353,2124,2025-01-13,Credit,13.65
354,3510,2025-03-18,Payment,0.54
355,2575,2024-11-07,Credit,9.28
356,3927,2024-11-22,Credit,10.75
357,635,2025-04-21,Transfer,72.99
358,520,2025-01-15,Debit,10.7
359,1372,2025-07-29,Credit,2.4
360,3803,2025-04-21,Debit,21.35
361,3594,2025-07-25,Debit,8.87
362,4193,2025-08-11,Debit,41.24
363,4021,2025-08-27,Debit,24.68
364,1774,2025-06-01,Debit,22.77
365,2940,2025-09-07,Debit,5.26
366,1249,2024-09-14,Credit,0.57
367,2708,2025-03-14,Credit,9.69
368,2766,2024-08-05,Debit,13.19
369,2986,2024-10-11,Debit,6.89
370,3448,2025-01-21,Payment,39.13
371,1138,2025-03-31,Debit,103.55
372,3199,2024-09-15,Credit,177.71
373,4459,2024-10-27,Debit,46.49
374,928,2025-08-07,Debit,21.82
375,2765,2025-04-26,Debit,396.38
376,2096,2025-09-05,Debit,31.01
377,4039,2025-03-28,Debit,139.52
378,1069,2025-01-20,Credit,60.26
379,2317,2024-09-01,Transfer,17.59
380,3891,2025-10-02,Debit,106.0
381,2149,2025-05-17,Credit,105.98
382,1227,2025-09-19,Debit,10.54
383,846,2025-06-30,Debit,14.12
384,440,2025-07-07,Debit,93.87
385,2512,2025-02-11,Credit,8.86
386,3323,2025-06-11,Debit,126.84
387,3615,2024-10-30,Transfer,258.48
388,2152,2025-02-17,Debit,113.73
389,1386,2025-07-11,Debit,52.52
390,2834,2024-07-28,Credit,191.79
391,2709,2025-05-04,Credit,196.98
392,1647,2024-12-27,Debit,15.53
393,1383,2025-05-03,Credit,23.25
394,4314,2025-03-23,Credit,2.63
395,4457,2024-08-16,Debit,46.31
396,4042,2024-11-11,Credit,82.07
397,4318,2025-07-27,Debit,213.18
398,2672,2025-04-03,Credit,15.21
399,4307,2025-03-13,Debit,6.33
400,199,2025-08-02,Credit,6.59
401,788,2025-03-26,Transfer,7.59
402,3401,2025-02-08,Debit,4.89
403,4375,2025-07-18,Credit,73.68
404,3960,2025-01-04,Debit,62.54
405,2087,2025-07-25,Credit,85.73
406,1870,2025-01-19,Credit,16.38
407,3051,2025-03-22,Debit,28.17
408,423,2024-11-26,Debit,123.17
409,440,2025-01-27,Credit,53.88
410,2437,2025-05-23,Credit,101.19
411,4284,2025-07-08,Debit,6.11
412,4075,2025-10-18,Transfer,9.82
413,2474,2025-06-08,Credit,46.54
414,71,2025-07-02,Debit,18.81
415,939,2024-06-23,Debit,22.38
416,3728,2024-04-24,Transfer,7.48
417,1167,2025-06-26,Debit,30.24
418,2292,2025-08-03,Credit,25.85
419,3159,2025-08-15,Debit,5.56
420,3487,2025-05-31,Debit,22.48
421,3160,2025-07-01,Credit,58.17
422,394,2023-12-21,Debit,10.5
423,3463,2025-07-27,Debit,15.74
424,445,2025-01-05,Debit,75.03
425,1691,2024-12-19,Debit,14.11
426,3131,2025-06-30,Debit,25.86
427,2499,2025-04-30,Credit,69.77
428,641,2025-01-18,Credit,2.5
429,3342,2024-07-18,Debit,31.97
430,4365,2025-04-04,Credit,63.25
431,3899,2025-05-03,Credit,25.35
432,2424,2025-04-04,Transfer,7.79
433,1039,2024-03-10,Debit,149.93
434,1121,2025-04-13,Transfer,122.32
435,845,2025-05-11,Transfer,4.13
436,3407,2024-12-20,Debit,68.9
437,3223,2025-06-02,Transfer,30.86
438,2931,2025-04-25,Credit,112.27
439,3158,2025-05-18,Credit,33.72
440,1254,2025-08-14,Debit,116.29
441,1728,2025-06-02,Credit,15.7
442,4407,2025-04-29,Debit,42.81
443,3470,2025-08-10,Credit,34.7
444,4329,2025-01-23,Credit,37.01
445,348,2025-08-16,Credit,44.3
446,395,2025-04-27,Credit,25.31
447,337,2025-04-02,Debit,15.01
448,1193,2025-01-15,Debit,10.86
449,2882,2024-12-29,Credit,214.23
450,4102,2025-01-25,Debit,17.06
451,4497,2025-03-08,Debit,230.18
452,3958,2025-05-12,Credit,39.71
453,1294,2025-05-20,Credit,11.38
454,4465,2025-05-31,Credit,14.88
455,1218,2025-08-10,Debit,11.97
456,2839,2025-05-02,Debit,109.97
457,2760,2025-09-17,Payment,12.43
458,1409,2025-03-30,Credit,59.34
459,3399,2025-07-18,Credit,283.79
460,2590,2025-05-20,Debit,98.13
461,2909,2025-06-19,Payment,8.13
462,4391,2025-06-30,Credit,40.77
463,4412,2025-08-04,Debit,5.78
464,4239,2025-08-13,Debit,61.08
465,2594,2025-07-12,Payment,1.73
466,4112,2025-03-26,Debit,7.1
467,143,2025-02-19,Debit,510.79
468,3180,2025-03-26,Credit,17.64
469,2866,2025-04-09,Credit,23.03
470,959,2025-05-09,Credit,156.55
471,3602,2025-05-04,Debit,50.27
472,2663,2025-01-20,Debit,243.21
473,233,2025-01-20,Debit,14.8
474,4109,2025-06-22,Credit,43.01
475,2301,2025-04-13,Debit,13.76
476,1974,2025-05-23,Credit,32.56
477,446,2025-07-24,Transfer,33.53
478,4160,2025-09-11,Debit,6.52
479,1478,2025-09-15,Transfer,41.03
480,3287,2025-06-28,Credit,50.23
481,1284,2025-06-09,Debit,15.35
482,2100,2025-07-10,Debit,2255.16
483,275,2024-04-23,Credit,7.6
484,962,2025-08-25,Credit,9.55
485,1655,2025-03-10,Debit,60.81
486,162,2025-08-15,Credit,24.07
487,3815,2024-07-10,Debit,2.24
488,2717,2024-08-13,Debit,69.39
489,3620,2025-03-02,Debit,291.91
490,1314,2025-08-14,Debit,19.65
491,3571,2025-06-28,Credit,112.69
492,1773,2025-07-18,Payment,7.14
493,3549,2025-08-04,Debit,120.76
494,4343,2025-05-20,Debit,24.19
495,4083,2025-08-09,Debit,44.09
496,541,2024-12-11,Debit,18.29
497,1203,2025-08-21,Debit,265.17
498,4492,2025-08-01,Payment,13.86
499,1803,2025-08-17,Debit,44.87
500,2814,2025-06-09,Credit,29.63
501,4142,2025-07-10,Credit,303.41
502,3257,2025-02-01,Credit,18.94
503,2718,2025-07-21,Debit,46.75
504,1501,2025-09-07,Debit,104.3
505,3981,2025-06-16,Debit,19.71
506,2960,2025-07-22,Credit,29.98
507,3064,2025-04-13,Payment,30.62
508,2291,2025-07-02,Debit,1.5
509,4193,2024-05-17,Debit,8.29
510,1669,2025-08-05,Debit,35.2
511,2138,2025-06-12,Debit,26.98
512,2418,2025-02-23,Credit,20.29
513,2584,2025-10-23,Debit,164.33
514,1952,2024-02-11,Credit,14.12
515,2577,2025-04-04,Credit,25.62
516,2502,2024-09-12,Credit,4.58
517,1803,2025-03-11,Credit,5.91
518,4232,2025-10-19,Transfer,13.94
519,2748,2025-01-15,Debit,30.46
520,4155,2025-08-30,Credit,31.66
521,3015,2025-01-22,Debit,354.82
522,2368,2024-10-26,Debit,39.99
523,2491,2024-04-12,Transfer,11.15
524,1064,2024-11-18,Credit,48.95
525,3283,2025-08-24,Credit,24.23
526,3413,2025-07-05,Credit,40.58
527,2983,2025-09-09,Transfer,1248.12
528,1273,2025-09-24,Credit,142.43
529,2514,2025-09-25,Debit,7.08
530,366,2025-06-06,Credit,20.32
531,2490,2025-03-12,Credit,18.03
532,691,2025-10-08,Payment,16.22
533,2994,2025-06-22,Credit,13.23
534,3827,2025-04-26,Debit,76.85
535,2221,2025-09-15,Credit,11.83
536,4149,2024-09-08,Debit,24.97
537,1857,2025-08-08,Debit,14.34
538,1756,2024-10-27,Credit,60.01
539,2349,2025-01-24,Debit,43.4
540,2353,2025-01-14,Debit,12.53
541,1196,2024-12-15,Credit,112.12
542,956,2024-05-21,Debit,38.92
543,2075,2025-02-22,Debit,26.21
544,2102,2025-02-21,Debit,40.33
545,441,2024-12-01,Transfer,47.99
546,1958,2025-09-30,Debit,21.74
547,2021,2025-01-29,Payment,27.6
548,456,2025-03-04,Credit,30.2
549,876,2025-08-24,Credit,52.0
550,3574,2024-05-04,Payment,77.32
551,2858,2024-11-26,Credit,23.99
552,4090,2025-03-09,Debit,23.35
553,880,2025-03-28,Debit,59.73
554,1198,2025-03-21,Credit,12.73
555,47,2025-09-14,Credit,14.35
556,1371,2024-08-07,Transfer,4.08
557,3517,2025-01-20,Credit,55.22
558,4119,2025-09-24,Transfer,43.61
559,4135,2025-06-27,Credit,137.59
560,1731,2025-06-07,Transfer,1.79
561,2487,2025-08-10,Debit,118.92
562,2782,2025-06-24,Credit,25.06
563,2472,2025-04-25,Debit,7.01
564,513,2024-08-15,Debit,8.1
565,782,2025-09-01,Debit,3.54
566,2016,2025-05-11,Debit,25.03
567,324,2025-01-06,Debit,9.53
568,1518,2025-02-18,Credit,16.81
569,3613,2024-06-01,Debit,132.67
570,1524,2025-04-26,Debit,14.75
571,316,2025-03-29,Credit,2.42
572,3434,2025-08-16,Credit,26.42
573,4288,2025-08-16,Debit,73.91
574,1617,2025-03-03,Credit,109.52
575,2506,2025-07-27,Debit,28.44
576,325,2024-11-18,Debit,5.34
577,81,2025-02-21,Credit,8.71
578,2583,2025-05-09,Credit,61.12
579,938,2025-03-06,Debit,28.86
580,2898,2025-08-05,Debit,41.16
581,2464,2025-07-21,Credit,7.86
582,3935,2024-08-21,Credit,23.6
583,4275,2024-07-10,Debit,10.78
584,1169,2025-07-18,Credit,243.08
585,4365,2025-05-28,Credit,207.85
586,4052,2024-08-21,Credit,25.33
587,2363,2025-05-01,Debit,42.75
588,1673,2025-07-14,Credit,17.7
589,985,2024-08-21,Credit,23.71
590,2861,2025-05-21,Transfer,10.22
591,1409,2025-07-26,Credit,4.24
592,3975,2025-08-10,Credit,67.19
593,2229,2025-08-10,Credit,78.72
594,1616,2025-09-30,Credit,19.78
595,122,2024-12-06,Debit,103.55
596,2915,2025-06-15,Debit,4.36
597,2554,2025-07-03,Debit,23.46
598,1676,2025-07-04,Debit,222.19
599,1521,2025-09-27,Debit,7.61
600,3505,2024-08-22,Transfer,15.45
601,3700,2025-04-10,Credit,42.27
602,4463,2024-10-06,Debit,8.59
603,2839,2025-07-01,Credit,40.02
604,759,2025-05-21,Credit,6.46
605,3465,2025-06-04,Credit,13.84
606,834,2025-07-25,Debit,24.05
607,1603,2025-03-11,Credit,1.44
608,1224,2025-04-25,Debit,17.46
609,4135,2024-05-29,Credit,29.2
610,2801,2024-12-08,Debit,34.18
611,2151,2025-08-10,Debit,12.96
612,60,2025-07-29,Credit,36.24
613,2261,2025-09-02,Credit,70.57
614,3319,2025-05-14,Credit,30.64
615,2043,2025-03-09,Credit,152.5
616,3865,2025-01-01,Debit,17.59
617,2313,2025-02-16,Debit,1.42
618,2853,2025-01-09,Transfer,65.11
619,2613,2025-02-24,Debit,67.9
620,99,2025-04-21,Transfer,13.65
621,2267,2025-08-05,Credit,18.39
622,3107,2025-06-04,Debit,24.97
623,2049,2024-09-18,Credit,32.55
624,539,2025-03-31,Transfer,61.95
625,1034,2025-05-09,Credit,83.47
626,4030,2025-06-21,Credit,125.52
627,2656,2025-06-11,Credit,33.65
628,1386,2025-09-19,Credit,7.33
629,3505,2025-03-29,Debit,9.36
630,4350,2024-10-22,Credit,129.16
631,2694,2025-02-19,Payment,5.38
632,1026,2025-08-07,Payment,11.24
633,2554,2025-07-11,Credit,38.11
634,3173,2025-08-18,Debit,4.02
635,1919,2024-09-21,Credit,13.59
636,1905,2025-08-31,Credit,2.9
637,1164,2025-07-30,Debit,14.93
638,4141,2025-06-10,Debit,34.09
639,1331,2025-07-09,Credit,8.53
640,3941,2025-01-30,Debit,25.01
641,3226,2025-04-10,Credit,10.4
642,3596,2024-10-24,Debit,24.51
643,4077,2025-09-11,Debit,20.57
644,1899,2025-10-02,Transfer,17.11
645,2146,2025-03-10,Credit,2.88
646,715,2025-03-01,Debit,29.89
647,3865,2025-08-16,Credit,10.07
648,3125,2025-04-28,Credit,301.28
649,682,2024-08-15,Credit,11.73
650,982,2025-02-11,Credit,121.33
651,536,2025-08-06,Debit,16.28
652,4375,2024-11-02,Credit,21.33
653,1758,2025-09-03,Debit,16.44
654,1301,2025-05-21,Credit,60.12
655,1425,2025-07-18,Debit,9.04
656,2840,2025-07-12,Credit,4.56
657,3823,2025-08-15,Credit,92.64
658,1017,2025-05-18,Credit,371.8
659,1785,2025-09-15,Transfer,3.01
660,4231,2025-04-15,Debit,0.42
661,795,2025-02-10,Transfer,6.62
662,4419,2025-01-03,Credit,111.0
663,3855,2025-07-04,Credit,73.87
664,483,2025-03-03,Credit,6.82
665,3926,2025-06-30,Debit,15.65
666,1147,2025-07-28,Credit,14.9
667,4443,2025-08-01,Credit,40.12
668,3593,2024-10-18,Debit,60.1
669,3957,2025-08-26,Transfer,19.11
670,500,2025-04-06,Debit,64.03
671,4003,2025-06-25,Credit,15.29
672,2669,2025-09-20,Credit,47.56
673,186,2024-12-25,Credit,145.81
674,3424,2024-07-17,Debit,32.73
675,2205,2025-06-09,Credit,132.35
676,28,2025-06-13,Credit,14.22
677,1894,2025-03-11,Credit,37.87
678,636,2025-03-22,Debit,2.31
679,395,2025-06-12,Credit,31.23
680,3663,2025-09-26,Debit,21.27
681,2978,2025-08-08,Payment,9.81
682,555,2024-10-05,Credit,38.51
683,523,2025-05-01,Debit,53.15
684,599,2025-10-19,Debit,46.35
685,4088,2025-06-02,Debit,105.94
686,277,2025-02-08,Debit,91.55
687,2485,2025-04-14,Debit,7.94
688,3535,2025-03-13,Debit,8.73
689,1561,2025-03-12,Credit,173.49
690,1180,2025-08-07,Transfer,3.2
691,3635,2025-08-11,Credit,79.49
692,3237,2025-08-23,Debit,111.23
693,3310,2025-07-12,Payment,95.2
694,3881,2024-12-23,Payment,123.7
695,3264,2025-07-02,Credit,74.94
696,3248,2025-06-02,Transfer,42.5
697,701,2025-09-20,Credit,20.55
698,1159,2025-04-20,Credit,64.54
699,3006,2025-06-25,Transfer,5.82
700,1037,2025-05-09,Credit,4.18
