interaction_id,customer_id,interaction_date,interaction_type
205,571,2025-08-02,Technical Support
206,1874,2025-08-27,Complaint
207,1231,2025-10-10,Product Inquiry
208,1417,2025-10-19,Service Inquiry
209,1290,2024-10-28,Technical Support
210,352,2025-10-07,Service Inquiry
211,404,2025-04-15,Service Inquiry
212,465,2025-10-06,Service Inquiry
213,878,2025-10-27,Product Inquiry
214,668,2025-10-22,Product Inquiry
215,1869,2025-10-24,Service Inquiry
216,653,2025-08-10,Service Inquiry
217,1880,2025-09-08,Product Inquiry
218,1502,2025-07-30,Service Inquiry
219,73,2025-04-19,Service Inquiry
220,1048,2025-09-27,Service Inquiry
221,226,2025-10-24,Service Inquiry
222,1985,2025-10-18,Technical Support
223,1900,2025-09-02,Service Inquiry
224,759,2025-06-10,Service Inquiry
225,512,2025-10-19,Service Inquiry
226,515,2025-10-14,Service Inquiry
227,241,2025-10-05,Product Inquiry
228,429,2025-10-21,Service Inquiry
229,65,2025-09-19,Product Inquiry
230,1482,2025-05-04,Service Inquiry
231,214,2025-05-29,Service Inquiry
232,807,2025-07-19,Complaint
233,907,2025-09-02,Product Inquiry
234,350,2025-10-18,Service Inquiry
235,678,2025-09-07,Service Inquiry
236,94,2025-10-09,Service Inquiry
237,1874,2025-10-06,Product Inquiry
238,957,2025-09-25,Complaint
239,1991,2025-10-20,Account Maintenance
240,1685,2025-10-21,Service Inquiry
241,462,2025-10-19,Service Inquiry
242,1298,2025-01-09,Complaint
243,1171,2025-10-14,Complaint
244,403,2025-08-30,Service Inquiry
245,150,2025-01-29,Service Inquiry
246,1453,2025-10-21,Technical Support
247,1072,2025-06-02,Product Inquiry
248,1626,2025-09-18,Product Inquiry
249,386,2025-08-19,Product Inquiry
250,892,2025-10-11,Technical Support
251,661,2025-06-28,Service Inquiry
252,1854,2025-10-04,Service Inquiry
253,196,2025-07-17,Product Inquiry
254,1532,2025-09-20,Technical Support
255,1947,2025-09-12,Complaint
256,1735,2025-05-25,Service Inquiry
257,705,2025-10-11,Service Inquiry
258,1492,2025-06-22,Service Inquiry
259,866,2025-10-06,Service Inquiry
260,300,2025-07-05,Product Inquiry
261,426,2025-10-15,Complaint
262,1771,2025-09-25,Product Inquiry
263,1728,2025-07-26,Service Inquiry
264,1719,2025-08-20,Complaint
265,1083,2025-09-21,Service Inquiry
266,1023,2025-08-16,Product Inquiry
267,102,2025-02-18,Service Inquiry
268,1411,2025-07-23,Product Inquiry
269,986,2025-06-26,Service Inquiry
270,1369,2025-08-03,Product Inquiry
271,1601,2025-10-17,Account Maintenance
272,14,2025-07-05,Complaint
273,439,2025-07-28,Account Maintenance
274,418,2025-09-11,Complaint
275,890,2025-10-27,Technical Support
276,1164,2025-09-30,Service Inquiry
277,322,2025-10-02,Account Maintenance
278,1938,2025-10-05,Complaint
279,334,2025-10-02,Technical Support
280,1384,2025-06-27,Service Inquiry
281,1572,2025-09-20,Technical Support
282,545,2024-12-02,Service Inquiry
283,1410,2025-09-12,Product Inquiry
284,1809,2025-10-02,Product Inquiry
285,1176,2025-10-11,Product Inquiry
286,1528,2025-08-02,Service Inquiry
287,637,2025-09-17,Service Inquiry
288,919,2025-08-29,Complaint
289,1415,2025-08-20,Service Inquiry
290,310,2025-06-08,Product Inquiry
291,1107,2025-09-30,Service Inquiry
292,1797,2025-10-07,Service Inquiry
293,1540,2025-09-18,Service Inquiry
294,1367,2025-09-23,Service Inquiry
295,784,2025-10-22,Service Inquiry
296,749,2025-09-29,Complaint
297,1547,2025-04-02,Product Inquiry
298,6,2025-09-06,Service Inquiry
299,232,2025-08-27,Technical Support
300,1332,2025-10-14,Service Inquiry
301,1061,2025-10-16,Product Inquiry
302,1114,2025-08-31,Service Inquiry
303,702,2025-10-15,Product Inquiry
304,88,2025-08-17,Service Inquiry
305,1837,2025-08-29,Service Inquiry
306,758,2025-10-10,Complaint
307,508,2025-09-11,Service Inquiry
308,760,2025-07-11,Product Inquiry
309,551,2025-08-17,Technical Support
310,750,2025-10-01,Product Inquiry
311,1980,2025-10-13,Service Inquiry
312,349,2025-09-03,Service Inquiry
313,742,2025-10-23,Service Inquiry
314,746,2025-05-28,Technical Support
315,418,2025-09-07,Complaint
316,824,2025-10-13,Service Inquiry
317,362,2025-10-06,Service Inquiry
318,1863,2025-08-26,Account Maintenance
319,1519,2025-10-19,Technical Support
320,1441,2025-08-29,Complaint
321,1720,2025-09-13,Complaint
322,343,2025-08-28,Service Inquiry
323,1151,2025-10-01,Service Inquiry
324,59,2025-10-28,Account Maintenance
325,1201,2025-07-14,Service Inquiry
326,434,2025-10-07,Service Inquiry
327,931,2025-06-10,Technical Support
328,748,2025-05-12,Service Inquiry
329,1936,2025-10-18,Product Inquiry
330,170,2025-08-13,Service Inquiry
331,531,2025-10-23,Complaint
332,199,2025-10-17,Service Inquiry
333,1755,2025-10-18,Technical Support
334,21,2025-09-20,Product Inquiry
335,651,2025-09-11,Service Inquiry
336,1487,2025-08-14,Service Inquiry
337,1086,2025-10-18,Account Maintenance
338,1300,2025-10-14,Service Inquiry
339,1307,2025-02-18,Complaint
340,1351,2025-10-23,Service Inquiry
341,1006,2025-09-11,Complaint
342,333,2025-10-20,Service Inquiry
343,749,2025-10-03,Product Inquiry
344,548,2025-03-25,Complaint
345,355,2025-10-12,Complaint
346,1193,2025-09-24,Service Inquiry
347,86,2025-10-26,Service Inquiry
348,1572,2025-10-05,Service Inquiry
349,957,2025-08-29,Service Inquiry
350,1908,2025-10-21,Service Inquiry
351,548,2025-10-22,Complaint
352,488,2025-08-05,Service Inquiry
353,457,2025-10-23,Account Maintenance
354,1509,2025-08-21,Complaint
355,1489,2025-04-08,Service Inquiry
356,1821,2025-10-08,Service Inquiry
357,1059,2025-07-20,Account Maintenance
358,1497,2025-03-01,Service Inquiry
359,1288,2025-09-08,Product Inquiry
360,1638,2025-10-06,Technical Support
361,1220,2025-07-29,Complaint
362,257,2025-10-02,Service Inquiry
363,1630,2025-10-24,Service Inquiry
364,807,2025-07-01,Complaint
365,650,2025-08-20,Complaint
366,1324,2025-09-30,Service Inquiry
367,784,2025-10-24,Product Inquiry
368,353,2025-10-06,Product Inquiry
369,1974,2025-10-24,Product Inquiry
370,397,2025-10-23,Technical Support
371,246,2025-06-11,Service Inquiry
372,1194,2025-09-15,Service Inquiry
373,413,2025-10-03,Service Inquiry
374,1194,2025-10-21,Service Inquiry
375,1264,2025-10-13,Product Inquiry
376,314,2025-10-21,Account Maintenance
377,1531,2025-09-16,Service Inquiry
378,1,2025-04-23,Technical Support
379,137,2025-09-21,Product Inquiry
380,678,2025-10-13,Product Inquiry
381,1496,2025-10-17,Technical Support
382,1479,2025-07-16,Complaint
383,110,2025-10-15,Service Inquiry
384,1303,2025-10-22,Product Inquiry
385,1429,2025-09-03,Service Inquiry
386,541,2025-09-28,Service Inquiry
387,169,2025-08-26,Product Inquiry
388,279,2025-09-30,Service Inquiry
389,1409,2025-10-22,Service Inquiry
390,187,2025-10-19,Complaint
391,696,2025-05-26,Service Inquiry
392,46,2025-10-24,Service Inquiry
393,833,2025-10-21,Service Inquiry
394,1785,2025-06-10,Product Inquiry
395,1628,2025-10-14,Service Inquiry
396,1116,2025-06-21,Service Inquiry
397,582,2025-09-17,Service Inquiry
398,1524,2025-08-08,Service Inquiry
399,1179,2025-06-22,Service Inquiry
400,1149,2025-09-07,Service Inquiry
401,1828,2025-08-28,Service Inquiry
402,324,2025-08-26,Service Inquiry
403,1424,2025-10-22,Service Inquiry
404,1622,2025-07-29,Product Inquiry
405,1461,2025-10-28,Technical Support
406,1626,2025-09-22,Service Inquiry
407,1326,2025-10-07,Service Inquiry
408,1621,2025-09-22,Technical Support
409,1361,2025-09-11,Complaint
410,1966,2025-09-16,Service Inquiry
411,205,2025-07-15,Complaint
412,633,2025-10-19,Product Inquiry
413,1192,2025-07-28,Product Inquiry
414,1525,2025-04-03,Product Inquiry
415,763,2025-10-13,Product Inquiry
416,243,2025-03-31,Service Inquiry
417,1688,2025-10-07,Service Inquiry
418,384,2025-05-15,Service Inquiry
419,1215,2024-11-15,Complaint
420,544,2025-08-09,Service Inquiry
421,1769,2025-05-09,Complaint
422,1927,2025-10-26,Service Inquiry
423,1624,2025-09-17,Service Inquiry
424,1460,2025-09-29,Service Inquiry
425,1497,2025-09-28,Service Inquiry
426,1312,2025-10-22,Service Inquiry
427,364,2025-07-24,Technical Support
428,1876,2025-09-24,Service Inquiry
429,320,2025-01-23,Service Inquiry
430,834,2025-10-07,Account Maintenance
431,853,2025-09-18,Technical Support
432,1587,2025-06-29,Complaint
433,1177,2025-10-18,Complaint
434,1404,2025-10-26,Technical Support
435,1330,2025-08-27,Account Maintenance
436,228,2025-08-14,Technical Support
437,1187,2025-05-13,Service Inquiry
438,1697,2025-10-27,Product Inquiry
439,1029,2025-10-23,Service Inquiry
440,826,2025-09-27,Service Inquiry
441,345,2025-08-07,Service Inquiry
442,1778,2025-07-30,Product Inquiry
443,848,2025-10-27,Technical Support
444,527,2025-10-24,Service Inquiry
445,21,2025-07-21,Service Inquiry
446,679,2025-06-12,Service Inquiry
447,1340,2025-07-15,Service Inquiry
448,1381,2025-07-24,Technical Support
449,1247,2025-10-10,Product Inquiry
450,280,2025-08-27,Service Inquiry
451,1054,2025-10-14,Service Inquiry
452,347,2025-07-18,Service Inquiry
453,839,2025-05-02,Technical Support
454,676,2025-09-02,Service Inquiry
455,642,2025-07-17,Account Maintenance
456,1522,2025-08-01,Complaint
457,91,2025-09-12,Service Inquiry
458,1796,2025-05-22,Technical Support
459,1799,2025-09-18,Product Inquiry
460,1750,2025-06-08,Account Maintenance
461,1348,2025-04-17,Account Maintenance
462,1997,2025-10-01,Service Inquiry
463,1894,2025-10-09,Account Maintenance
464,1157,2025-09-28,Product Inquiry
465,486,2025-07-30,Technical Support
466,1631,2025-10-12,Service Inquiry
467,568,2025-10-26,Product Inquiry
468,1059,2025-04-06,Service Inquiry
469,1731,2025-09-08,Service Inquiry
470,1075,2025-10-02,Complaint
471,296,2025-09-18,Technical Support
472,981,2025-09-25,Technical Support
473,233,2025-05-01,Product Inquiry
474,1038,2025-10-24,Product Inquiry
475,639,2025-09-04,Service Inquiry
476,831,2025-10-02,Product Inquiry
477,1288,2025-09-29,Service Inquiry
478,1013,2025-09-30,Complaint
479,113,2025-10-20,Service Inquiry
480,1819,2025-10-10,Account Maintenance
481,1013,2025-10-24,Service Inquiry
482,1770,2025-10-17,Technical Support
483,1351,2025-06-20,Service Inquiry
484,297,2025-08-29,Complaint
485,913,2025-05-20,Service Inquiry
486,310,2025-10-10,Service Inquiry
487,1694,2025-10-05,Complaint
488,1237,2025-10-08,Account Maintenance
489,1598,2025-10-20,Service Inquiry
490,1483,2025-10-14,Complaint
491,996,2025-04-16,Service Inquiry
492,634,2025-10-15,Service Inquiry
493,1337,2025-09-10,Service Inquiry
494,595,2025-09-26,Complaint
495,115,2025-10-25,Service Inquiry
496,1744,2025-08-19,Service Inquiry
497,154,2025-10-09,Service Inquiry
498,360,2025-10-18,Service Inquiry
499,1375,2025-10-02,Service Inquiry
500,1990,2025-10-13,Service Inquiry
501,141,2025-09-23,Service Inquiry
502,890,2025-09-13,Service Inquiry
503,130,2025-09-29,Account Maintenance
504,20,2025-08-02,Complaint
505,1760,2025-10-19,Service Inquiry
506,815,2025-09-09,Service Inquiry
507,37,2025-10-17,Service Inquiry
508,1390,2025-07-17,Service Inquiry
509,888,2025-09-18,Technical Support
510,702,2025-06-10,Service Inquiry
511,704,2025-10-15,Service Inquiry
512,1098,2025-06-14,Account Maintenance
513,1208,2025-10-21,Service Inquiry
514,1394,2025-09-29,Product Inquiry
515,1075,2025-07-04,Service Inquiry
516,1048,2025-10-24,Service Inquiry
517,1495,2025-07-04,Complaint
518,1461,2025-08-23,Service Inquiry
519,572,2025-09-30,Account Maintenance
520,1891,2025-10-08,Complaint
521,9,2025-08-06,Service Inquiry
522,1525,2025-10-20,Technical Support
523,1545,2025-08-19,Service Inquiry
524,786,2025-10-07,Technical Support
525,1174,2025-07-09,Service Inquiry
526,1714,2025-07-27,Technical Support
527,1341,2025-10-04,Service Inquiry
528,1628,2025-05-29,Service Inquiry
529,561,2025-10-15,Technical Support
530,319,2025-09-14,Account Maintenance
531,1479,2025-10-12,Complaint
532,347,2025-07-14,Complaint
533,153,2025-08-23,Complaint
534,1094,2025-10-20,Service Inquiry
535,1819,2025-08-18,Service Inquiry
536,161,2025-05-21,Complaint
537,461,2025-09-18,Product Inquiry
538,521,2025-07-03,Complaint
539,131,2025-10-13,Service Inquiry
540,1982,2025-10-01,Service Inquiry
541,24,2025-08-17,Complaint
542,664,2025-08-19,Account Maintenance
543,1865,2025-05-25,Service Inquiry
544,1225,2025-10-04,Service Inquiry
545,1004,2025-08-31,Service Inquiry
546,53,2025-06-14,Service Inquiry
547,1087,2025-10-26,Technical Support
548,1082,2025-07-13,Product Inquiry
549,160,2025-09-01,Service Inquiry
550,351,2025-09-05,Product Inquiry
551,448,2025-09-07,Product Inquiry
552,1302,2025-08-01,Product Inquiry
553,1877,2025-07-30,Service Inquiry
554,1824,2025-07-21,Service Inquiry
555,1590,2025-08-29,Service Inquiry
556,842,2025-10-03,Service Inquiry
557,380,2025-08-16,Service Inquiry
558,1592,2025-09-05,Service Inquiry
559,1374,2025-10-20,Product Inquiry
560,604,2025-08-28,Technical Support
561,739,2025-08-05,Service Inquiry
562,266,2025-09-13,Product Inquiry
563,1830,2025-10-27,Complaint
564,922,2025-10-24,Complaint
565,1739,2025-03-21,Complaint
566,1534,2025-10-17,Account Maintenance
567,1555,2025-08-28,Product Inquiry
568,889,2025-10-08,Complaint
569,140,2025-07-27,Service Inquiry
570,36,2025-04-17,Complaint
571,809,2025-09-15,Service Inquiry
572,1330,2025-09-02,Service Inquiry
573,673,2025-09-22,Complaint
574,1763,2025-10-20,Service Inquiry
575,61,2025-10-20,Product Inquiry
576,1743,2025-10-15,Service Inquiry
577,1379,2025-09-29,Technical Support
578,1061,2025-10-04,Service Inquiry
579,1010,2025-08-22,Service Inquiry
580,273,2025-10-07,Technical Support
581,1065,2025-10-10,Technical Support
582,117,2025-09-03,Technical Support
583,1800,2025-08-27,Service Inquiry
584,1622,2025-09-16,Complaint
585,5,2025-06-25,Complaint
586,1150,2025-10-21,Service Inquiry
587,1074,2025-10-06,Service Inquiry
588,1435,2025-08-29,Service Inquiry
589,432,2025-09-10,Complaint
590,1210,2025-10-04,Service Inquiry
591,1707,2025-07-24,Service Inquiry
592,1505,2025-10-19,Technical Support
593,1279,2025-09-16,Technical Support
594,398,2025-06-10,Product Inquiry
595,1874,2025-09-24,Account Maintenance
596,602,2025-05-01,Service Inquiry
597,1449,2025-09-28,Service Inquiry
598,1875,2025-10-12,Service Inquiry
599,1353,2025-08-28,Service Inquiry
600,1930,2025-10-28,Service Inquiry
601,602,2025-03-04,Service Inquiry
602,1414,2025-07-03,Product Inquiry
603,979,2025-09-28,Service Inquiry
604,1473,2025-09-20,Service Inquiry
605,1960,2025-10-23,Service Inquiry
606,1791,2025-09-28,Service Inquiry
607,382,2025-09-19,Service Inquiry
608,1229,2025-07-21,Account Maintenance
609,2000,2025-08-11,Complaint
610,1420,2025-08-19,Account Maintenance
611,1182,2025-04-06,Service Inquiry
612,1268,2025-09-25,Complaint
613,310,2025-09-19,Technical Support
614,407,2025-09-13,Service Inquiry
615,411,2025-09-16,Service Inquiry
616,1823,2025-04-13,Service Inquiry
617,1591,2025-05-08,Product Inquiry
618,680,2025-09-27,Service Inquiry
619,408,2025-10-21,Complaint
620,789,2025-09-28,Complaint
621,1818,2025-07-02,Technical Support
622,538,2025-09-18,Complaint
623,483,2025-03-20,Account Maintenance
624,1066,2025-10-17,Complaint
625,1724,2025-09-12,Account Maintenance
626,847,2025-09-01,Service Inquiry
627,179,2025-08-19,Service Inquiry
628,1676,2025-08-17,Service Inquiry
629,80,2025-08-26,Complaint
630,1446,2025-07-06,Service Inquiry
631,496,2025-10-18,Product Inquiry
632,334,2025-10-28,Technical Support
633,1724,2025-08-24,Service Inquiry
634,370,2025-08-26,Service Inquiry
635,667,2025-09-22,Service Inquiry
636,840,2025-07-04,Complaint
637,1546,2025-10-02,Product Inquiry
638,606,2025-08-16,Service Inquiry
639,1060,2025-10-18,Complaint
640,1879,2025-10-25,Service Inquiry
641,1443,2025-09-03,Service Inquiry
642,420,2025-08-28,Service Inquiry
643,819,2025-09-02,Complaint
644,1088,2025-09-18,Complaint
645,568,2025-09-03,Product Inquiry
646,444,2025-10-16,Service Inquiry
647,982,2025-10-24,Service Inquiry
648,1911,2025-10-18,Service Inquiry
649,150,2025-10-09,Service Inquiry
650,1412,2025-10-20,Service Inquiry
651,878,2025-10-22,Service Inquiry
652,592,2025-03-13,Account Maintenance
653,76,2025-10-03,Service Inquiry
654,804,2025-10-01,Technical Support
655,1342,2025-10-26,Account Maintenance
656,152,2025-08-18,Service Inquiry
657,259,2025-10-20,Product Inquiry
658,1178,2025-07-19,Service Inquiry
659,519,2025-10-22,Product Inquiry
660,1593,2025-10-15,Product Inquiry
661,716,2025-10-23,Account Maintenance
662,235,2025-07-15,Service Inquiry
663,1,2025-06-14,Service Inquiry
664,724,2025-10-17,Service Inquiry
665,695,2025-10-04,Service Inquiry
666,1954,2025-10-18,Service Inquiry
667,204,2025-09-22,Service Inquiry
668,958,2025-06-10,Service Inquiry
669,1499,2025-10-10,Technical Support
670,990,2025-08-06,Service Inquiry
671,1633,2025-09-01,Product Inquiry
672,1325,2025-09-23,Product Inquiry
673,1805,2025-03-31,Product Inquiry
674,1977,2025-10-25,Product Inquiry
675,1569,2025-10-08,Technical Support
676,1814,2025-10-23,Service Inquiry
677,675,2025-10-25,Product Inquiry
678,1006,2025-10-03,Technical Support
679,683,2025-07-06,Product Inquiry
680,292,2025-08-25,Product Inquiry
681,1658,2025-10-13,Service Inquiry
682,1526,2025-04-10,Service Inquiry
683,721,2025-01-12,Product Inquiry
684,227,2025-10-13,Account Maintenance
685,677,2025-09-02,Product Inquiry
686,891,2025-09-16,Service Inquiry
687,762,2025-09-08,Service Inquiry
688,1288,2025-07-13,Product Inquiry
689,874,2025-01-11,Service Inquiry
690,133,2025-10-16,Account Maintenance
691,1075,2025-08-21,Service Inquiry
692,309,2025-09-18,Service Inquiry
693,318,2025-10-28,Product Inquiry
694,344,2025-08-23,Complaint
695,1378,2025-09-29,Technical Support
696,1108,2025-08-21,Complaint
697,208,2025-10-08,Service Inquiry
698,17,2025-10-16,Technical Support
699,993,2025-10-25,Service Inquiry
700,450,2025-10-04,Product Inquiry
701,392,2025-07-21,Complaint
702,877,2025-10-09,Technical Support
703,1019,2025-10-02,Service Inquiry
704,385,2025-03-31,Service Inquiry
705,1481,2025-10-20,Complaint
706,468,2025-10-16,Service Inquiry
707,387,2025-05-04,Service Inquiry
708,1228,2025-10-26,Service Inquiry
709,156,2025-08-22,Product Inquiry
710,280,2025-08-01,Service Inquiry
711,363,2025-10-08,Service Inquiry
712,1535,2025-09-04,Account Maintenance
713,1645,2025-09-04,Service Inquiry
714,354,2025-09-18,Service Inquiry
715,620,2025-06-15,Service Inquiry
716,783,2025-07-07,Service Inquiry
717,1566,2025-09-23,Technical Support
718,322,2025-08-26,Service Inquiry
719,973,2025-10-23,Service Inquiry
720,244,2025-09-21,Product Inquiry
721,1543,2025-10-28,Service Inquiry
722,1115,2025-06-23,Complaint
723,242,2025-05-13,Technical Support
724,1681,2025-09-18,Product Inquiry
725,214,2025-10-25,Service Inquiry
726,2,2025-10-16,Service Inquiry
727,117,2025-09-14,Service Inquiry
728,1773,2025-09-18,Service Inquiry
729,1990,2025-10-05,Service Inquiry
730,1631,2025-07-27,Service Inquiry
731,1311,2025-09-17,Account Maintenance
732,1799,2025-10-02,Product Inquiry
733,966,2025-09-26,Account Maintenance
734,202,2025-08-13,Service Inquiry
735,1409,2025-08-10,Service Inquiry
736,1014,2025-08-10,Service Inquiry
737,1206,2025-07-10,Technical Support
738,182,2025-10-15,Service Inquiry
